Devices,Date,Esn,Part Of Netflix Household
DefaultWidevinePhone,2023-11-17 00:00:00,NFANDROID1-PRV-P-HUAWEBLA-L09-7440-5A3EF2D1D653B0192131B75E78BC6DF0E49BFEDF79BA65E6724B54A4E289412C,No
iPad 10.2 9th Gen Wi-Fi,2023-11-19 00:00:00,NFAPPL-01-IPAD12=1-PXA-020273Q8RO3OLB1L6RQ0CBILEVQPBRJGCNPEDV8CRDVVMQPK4NA0I9C80GKAJROEBG9GCADEPLTAU1L1B23HHCMPE500GOVOOJ5IFD54,No
iPad Air 5th Gen Wi-Fi,2023-10-24 00:00:00,NFAPPL-01-IPAD13=16-26D9A230F744819A88C005D8F68C4AD4C4F95F19C6FB09F94CAC888CFB49B2CB,No
iPad Air 5th Gen Wi-Fi,2023-11-15 00:00:00,NFAPPL-01-IPAD13=16-EAE1927974EDF83B1E5D01AC6E2B2F4CA4D24D438C956502010C771FD9840584,No
iPad Air 5th Gen Wi-Fi,2023-12-09 00:00:00,NFAPPL-01-IPAD13=16-PXA-0202GQOEVG0KF7V67MHHS0P2EHPSO0FVTV32CRUB7MASIHV43J9OSOO9FE51SOPTOJUQSOR97PECKJQQHGBF1AMUABL2HAII479LCA57,No
iPad Air 2 WiFi,2023-12-09 00:00:00,NFAPPL-01-IPAD5=3-0DDB908CEF28654CB6B03CCD4ADCB621CB1F8602F11A91F5302FFD8025B97A82,No
iPhone 11,2023-12-09 00:00:00,NFAPPL-02-IPHONE12=1-1E455AF4890338FE88BC20186F2C7F315BD52CAF5E62F8919E9FE2895FFE67DD,No
iPhone 11,2023-12-06 00:00:00,NFAPPL-02-IPHONE12=1-PXA-02020SA3FI22981N63BA5H0C47HV0K927CVPDAE86S6S6SFJSP8KEE4LHRL9KH51NB2OM5U0V5QR4E1QEIQ4169GL5GRTI885OH680DC,No
iPhone SE Gen 2,2023-12-04 00:00:00,NFAPPL-02-IPHONE12=8-0C7A25590B76F4D5A93B61AD9C5A70F7039A5343E8B1639CCEEDFC8D2DB5C8FA,No
iPhone SE Gen 2,2023-12-09 00:00:00,NFAPPL-02-IPHONE12=8-PXA-0202FLDBNQ8U4KHM1I9AG2216D5CIHFFV2U6SQR276QDMPHQMH1KE1APL3R7J46I5K306RTH74GDDMTDN6SV3NEUO548RV0SNV2B1726,No
iPhone 14 Pro Max,2023-12-06 00:00:00,NFAPPL-02-IPHONE15=3-10B3F45254A9E99502239F1715974CF2E26B6D91BED1771FC54D40810D6B4F2E,No
Chrome PC (Cadmium),2023-12-09 00:00:00,NFCDCH-02-JRLYMCEE7NQ53M0K11KR1GV4R0W2M2,No
Chrome PC (Cadmium),2023-10-27 00:00:00,NFCDCH-02-KFJEL7PDT29JP9LAP89CLJV81NF98U,No
Chrome PC (Cadmium),2023-11-24 00:00:00,NFCDCH-02-KMZHXDPQ3NH5U3LV0M7KWAD0VQFDQC,No
Chrome PC (Cadmium),2023-11-25 00:00:00,NFCDCH-02-KP34YGWP2C1H201RKHPCU8D1L7916G,No
