Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Onur ps5,www,browseTitlesGallery,/browse/genre/34399?jbv=81037684,/browse/genre/34399,2023-11-24 22:22:18
Onur ps5,www,browseTitlesGalleryOverlay,/browse/genre/34399,/browse/m/genre/10579,2023-11-24 22:22:18
Onur ps5,www,movieDetails,/browse/genre/34399,/browse/genre/34399?jbv=81037684,2023-11-24 22:22:17
Onur ps5,www,browseTitlesGallery,/browse/genre/34399?jbv=81037684,/browse/genre/34399,2023-11-24 22:22:17
Onur ps5,www,browseTitlesGalleryOverlay,/browse/genre/34399,/browse/m/genre/10579,2023-11-24 22:22:16
Onur ps5,www,browseTitlesGalleryOverlay,/browse/m/genre/10579,/browse/m/genre/10579?so=su,2023-11-24 22:22:16
Onur ps5,www,browseTitlesGallery,/browse/genre/34399?jbv=80234448,/browse/genre/34399,2023-11-24 22:22:14
Onur ps5,www,browseTitlesGallery,/browse/genre/34399,/browse/genre/34399?jbv=81037684,2023-11-24 22:22:14
Onur ps5,www,movieDetails,/browse/genre/34399,/browse/genre/34399?jbv=81043345,2023-11-24 20:34:16
Onur ps5,www,browseTitlesGallery,/browse/genre/34399?jbv=81043345,/browse/genre/34399,2023-11-24 20:34:16
Onur ps5,www,browseTitlesGallery,/browse/m/genre/10579,/browse/genre/34399,2023-11-24 20:33:58
Onur ps5,www,browseTitlesGallery,/browse/genre/34399,/browse/genre/34399?jbv=81043345,2023-11-24 20:33:58
Onur ps5,www,browseTitlesGalleryOverlay,/browse/genre/34399,/browse/m/genre/10579,2023-11-24 20:31:50
Onur ps5,www,browseTitlesGallery,/browse/m/genre/10579,/browse/genre/34399,2023-11-24 20:31:50
Onur ps5,www,browseTitlesGallery,/browse/m/genre/10579?so=su,/browse/genre/34399,2023-11-24 20:28:18
Onur ps5,www,browseTitlesGalleryOverlay,/browse/genre/34399,/browse/m/genre/10579,2023-11-24 20:28:18
Onur ps5,www,movieDetails,/browse/genre/34399,/browse/genre/34399?jbv=80234448,2023-11-24 20:25:27
Onur ps5,www,browseTitlesGallery,/browse/genre/34399?jbv=80234448,/browse/genre/34399,2023-11-24 20:25:27
Onur ps5,www,browseTitlesGallery,/browse/m/person/20053411,/browse/genre/34399,2023-11-24 20:25:16
Onur ps5,www,browseTitlesGallery,/browse/genre/34399,/browse/genre/34399?jbv=80234448,2023-11-24 20:25:16
Onur ps5,www,browseTitlesGalleryOverlay,/browse/genre/34399?jbv=81614419,/browse/m/person/20053411,2023-11-24 20:20:50
Onur ps5,www,browseTitlesGallery,/browse/m/person/20053411,/browse/genre/34399,2023-11-24 20:20:50
Onur ps5,www,movieDetails,/browse/genre/34399,/browse/genre/34399?jbv=81614419,2023-11-24 20:20:44
Onur ps5,www,browseTitlesGalleryOverlay,/browse/genre/34399?jbv=81614419,/browse/m/person/20053411,2023-11-24 20:20:44
Onur ps5,www,browseTitlesGallery,/browse,/browse/genre/34399,2023-11-24 20:20:14
Onur ps5,www,browseTitlesGallery,/browse/genre/34399,/browse/genre/34399?jbv=81614419,2023-11-24 20:20:14
Onur ps5,www,browseTitles,,/browse,2023-11-24 20:20:01
Onur ps5,www,browseTitlesGallery,/browse,/browse/genre/34399,2023-11-24 20:20:01
Onur ps5,www,profilesGate,,/browse,2023-11-24 20:19:31
Onur ps5,www,browseTitles,,/browse,2023-11-24 20:19:31
Onur ps5,iOS,postPlay,,,2023-11-12 08:04:30
Onur ps5,www,playback,/watch/81096218?trackId=14170286,/watch/81096219?trackId=155573560,2023-11-11 20:44:29
Onur ps5,www,playback,/watch/81096219?trackId=155573560,/watch/81096220?trackId=155573560,2023-11-11 20:44:29
Onur ps5,www,playback,/watch/81083008?trackId=14170286&tctx=1%2C0%2Cb572adf0-6e93-4b3a-90fd-404edebf2f94-196520316%2CNES_D91CEDF4C5DD832D6AEA66E70B849E-994911DC4F528C-7A631E89E0_p_1699729329193%2CNES_D91CEDF4C5DD832D6AEA66E70B849E_p_1699729313842%2C%2C%2C%2C81083008%2CVideo%3A81083008%2CminiDpPlayButton,/watch/81096218?trackId=14170286,2023-11-11 19:58:52
Onur ps5,www,playback,/watch/81096218?trackId=14170286,/watch/81096219?trackId=155573560,2023-11-11 19:58:52
Onur ps5,www,playback,/browse,/watch/81083008?trackId=14170286&tctx=1%2C0%2Cb572adf0-6e93-4b3a-90fd-404edebf2f94-196520316%2CNES_D91CEDF4C5DD832D6AEA66E70B849E-994911DC4F528C-7A631E89E0_p_1699729329193%2CNES_D91CEDF4C5DD832D6AEA66E70B849E_p_1699729313842%2C%2C%2C%2C81083008%2CVideo%3A81083008%2CminiDpPlayButton,2023-11-11 19:02:25
Onur ps5,www,playback,/watch/81083008?trackId=14170286&tctx=1%2C0%2Cb572adf0-6e93-4b3a-90fd-404edebf2f94-196520316%2CNES_D91CEDF4C5DD832D6AEA66E70B849E-994911DC4F528C-7A631E89E0_p_1699729329193%2CNES_D91CEDF4C5DD832D6AEA66E70B849E_p_1699729313842%2C%2C%2C%2C81083008%2CVideo%3A81083008%2CminiDpPlayButton,/watch/81096218?trackId=14170286,2023-11-11 19:02:25
Onur ps5,www,browseTitles,https://www.google.com/,/browse,2023-11-11 19:02:22
Onur ps5,www,playback,/browse,/watch/81083008?trackId=14170286&tctx=1%2C0%2Cb572adf0-6e93-4b3a-90fd-404edebf2f94-196520316%2CNES_D91CEDF4C5DD832D6AEA66E70B849E-994911DC4F528C-7A631E89E0_p_1699729329193%2CNES_D91CEDF4C5DD832D6AEA66E70B849E_p_1699729313842%2C%2C%2C%2C81083008%2CVideo%3A81083008%2CminiDpPlayButton,2023-11-11 19:02:22
Onur ps5,www,browseTitles,/browse,/browse?jbv=81083008,2023-11-11 18:12:17
Onur ps5,www,playback,/browse?jbv=81083008,/watch/81096218?trackId=262591621&tctx=3%2C2%2C20f2d5f0-38f0-4bd9-ad3a-2d0edaa3bdc1-175243992%2CNES_D91CEDF4C5DD832D6AEA66E70B849E-70ABB4754B2342-50AF6DCED7_p_1699726322318%2CNES_D91CEDF4C5DD832D6AEA66E70B849E_p_1699726322318%2C%2C%2C%2C%2CVideo%3A81083008%2CdetailsPagePlayButton,2023-11-11 18:12:17
Onur ps5,www,movieDetails,/browse?jbv=70281562,/browse,2023-11-11 18:12:14
Onur ps5,www,browseTitles,/browse,/browse?jbv=81083008,2023-11-11 18:12:14
Onur ps5,www,browseTitles,/browse,/browse?jbv=70281562,2023-11-11 18:12:11
Onur ps5,www,browseTitles,/browse?jbv=70281562,/browse,2023-11-11 18:12:11
Onur ps5,www,movieDetails,,/browse,2023-11-11 18:12:09
Onur ps5,www,browseTitles,/browse,/browse?jbv=70281562,2023-11-11 18:12:09
Onur ps5,iOS,movieDetails,,,2023-11-11 14:30:55
Onur ps5,iOS,movieDetails,,,2023-11-11 14:30:53
Onur ps5,iOS,search,,,2023-11-11 14:30:52
Onur ps5,iOS,browseTitles,,,2023-11-11 14:30:44
Onur ps5,iOS,profilesGate,,,2023-11-11 14:30:44
Onur ps5,iOS,profilesGate,,,2023-11-11 14:30:43
Onur ps5,iOS,postPlay,,,2023-11-11 00:31:59
Onur ps5,iOS,postPlay,,,2023-11-11 00:31:59
Onur ps5,iOS,postPlay,,,2023-11-11 00:30:20
Onur ps5,iOS,postPlay,,,2023-11-11 00:30:20
Onur ps5,iOS,postPlay,,,2023-11-11 00:30:20
Onur ps5,iOS,postPlay,,,2023-11-11 00:30:20
Onur ps5,iOS,postPlay,,,2023-11-11 00:30:14
Onur ps5,iOS,postPlay,,,2023-11-11 00:30:14
Onur ps5,iOS,playback,,,2023-11-10 23:43:09
Onur ps5,iOS,postPlay,,,2023-11-10 23:43:09
Onur ps5,iOS,movieDetails,,,2023-11-10 23:01:52
Onur ps5,iOS,playback,,,2023-11-10 23:01:52
Onur ps5,iOS,movieDetails,,,2023-11-10 22:38:02
Onur ps5,iOS,playback,,,2023-11-10 22:38:02
Onur ps5,iOS,postPlay,,,2023-11-10 22:25:57
Onur ps5,iOS,playback,,,2023-11-10 22:25:57
Onur ps5,iOS,playback,,,2023-11-10 22:25:56
Onur ps5,iOS,postPlay,,,2023-11-10 22:25:56
Onur ps5,iOS,movieDetails,,,2023-11-10 21:51:01
Onur ps5,iOS,movieDetails,,,2023-11-10 21:51:01
Onur ps5,iOS,playback,,,2023-11-10 21:51:01
Onur ps5,iOS,movieDetails,,,2023-11-10 21:15:15
Onur ps5,iOS,search,,,2023-11-10 21:15:14
Onur ps5,iOS,movieDetails,,,2023-11-10 20:51:45
Onur ps5,iOS,search,,,2023-11-10 20:51:44
Onur ps5,iOS,browseTitles,,,2023-11-10 20:51:32
Onur ps5,iOS,profilesGate,,,2023-11-10 20:51:32
Onur ps5,iOS,profilesGate,,,2023-11-10 20:51:31
Onur ps5,iOS,playback,,,2023-10-29 08:16:23
Onur ps5,iOS,playback,,,2023-10-29 08:16:23
Onur ps5,iOS,movieDetails,,,2023-10-29 08:16:23
Onur ps5,iOS,movieDetails,,,2023-10-25 20:28:36
Onur ps5,iOS,playback,,,2023-10-25 20:28:36
Onur ps5,iOS,movieDetails,,,2023-10-25 20:28:20
Onur ps5,iOS,browseTitlesGallery,,,2023-10-25 20:28:19
Onur ps5,iOS,movieDetails,,,2023-10-25 20:28:19
Onur ps5,iOS,browseTitlesGallery,,,2023-10-25 20:28:19
Onur ps5,iOS,browseTitlesGallery,,,2023-10-25 20:28:04
Onur ps5,iOS,browseTitles,,,2023-10-25 20:28:03
Onur ps5,iOS,browseTitles,,,2023-10-25 20:28:03
Onur ps5,iOS,browseTitles,,,2023-10-25 20:26:58
Onur ps5,iOS,profilesGate,,,2023-10-25 20:26:58
Onur ps5,iOS,profilesGate,,,2023-10-25 20:26:57
Onur ps5,iOS,playback,,,2023-10-25 11:53:14
Onur ps5,iOS,postPlay,,,2023-10-25 11:53:14
Onur ps5,iOS,playback,,,2023-10-25 11:53:14
Onur ps5,iOS,postPlay,,,2023-10-25 11:53:14
Onur ps5,iOS,playback,,,2023-10-25 11:50:51
