Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Onur ps5,The Pentaverate,thumb,,2,PS5,2023-07-07 15:57:05,
Onur ps5,Two Distant Strangers,thumb,,0,PS5,2023-04-02 15:41:56,
Onur ps5,Rick and Morty,thumb,,1,PS5,2022-12-30 20:48:25,
Onur ps5,Downsizing,thumb,,2,iPad,2022-01-28 23:50:20,
Onur ps5,"Sex, Love & goop",thumb,,1,iPhone,2021-10-24 01:41:35,
Onur ps5,Close Enough,thumb,,2,HTML 5,2020-09-19 22:39:03,
Onur ps5,Gods of Egypt,thumb,,2,HTML 5,2020-02-05 23:17:40,
Onur ps5,Assassin's Creed,thumb,,1,HTML 5,2020-02-05 23:16:40,
Onur ps5,Elysium,thumb,,2,HTML 5,2020-02-05 23:16:32,
Onur ps5,Kill Me If You Dare,thumb,,1,iPad,2020-01-30 23:12:20,
Onur ps5,Bright,thumb,,2,iPhone,2020-01-28 12:27:37,
Onur ps5,Money Trap,thumb,,2,Ps4_Pro,2019-02-24 22:29:04,
Onur ps5,Mac & Devin Go to High School,thumb,,1,Ps4_Pro,2019-02-01 22:24:22,
Onur ps5,Final Space,thumb,,2,Ps4_Pro,2019-02-01 22:24:11,
Onur ps5,Annihilation,thumb,,2,Ps4_Pro,2019-01-29 03:21:23,
Onur ps5,Narcos: Mexico,thumb,,2,Ps4_Pro,2019-01-29 03:20:11,
Onur ps5,DEATH NOTE,thumb,,2,Ps4_Pro,2019-01-29 03:19:49,
Onur ps5,Altered Carbon,thumb,,2,Ps4_Pro,2019-01-29 03:19:34,
Onur ps5,The Protector,thumb,,2,Ps4_Pro,2019-01-29 03:10:59,
nergiz,The Chaos Class Returns,thumb,,1,iPad,2019-08-27 15:06:21,
nergiz,Deli Aşk,thumb,,2,iPad,2019-07-26 19:11:17,
nergiz,Maniac,thumb,,2,iPad,2019-07-26 10:13:44,
nergiz,For Love and Honour,thumb,,2,iPad,2019-07-26 10:08:45,
nergiz,Av Mevsimi,thumb,,2,iPad,2019-07-24 00:41:40,
nergiz,Dağ II,thumb,,2,iPad,2019-07-24 00:41:22,
nergiz,Wolf,thumb,,2,iPad,2019-07-23 14:27:29,
eren,Brooklyn Nine-Nine,thumb,,3,iPhone,2022-09-12 23:35:25,
eren,Community,thumb,,3,iPhone,2022-09-12 23:35:15,
eren,Big Mouth,thumb,,2,Android Phone,2019-10-27 13:15:14,
thanks bro,Seinfeld,thumb,,0,HTML 5,2023-08-29 15:54:36,
thanks bro,Hajime no Ippo: The Fighting!,thumb,,3,Android Phone,2023-06-25 15:42:01,
thanks bro,Oh My Venus,thumb,,1,HTML 5,2023-01-29 09:52:15,
thanks bro,Berserk,thumb,,0,HTML 5,2022-12-26 01:08:42,
thanks bro,Focus,thumb,,0,HTML 5,2022-10-08 22:09:47,
thanks bro,Neon Genesis Evangelion,thumb,,2,HTML 5,2022-05-25 22:59:22,
thanks bro,The Matrix,thumb,,2,HTML 5,2022-03-31 21:51:31,
thanks bro,"9,75",thumb,,2,HTML 5,2022-03-31 21:51:05,
thanks bro,Cowboy Bebop,thumb,,2,HTML 5,2022-01-29 02:53:08,
thanks bro,The Office (U.S.),thumb,,2,HTML 5,2022-01-27 15:25:14,
thanks bro,Friends,thumb,,2,HTML 5,2022-01-27 15:25:06,
thanks bro,Cowboy Bebop,thumb,,2,HTML 5,2021-10-23 10:32:57,
thanks bro,Living with Yourself,thumb,,2,Smart TV,2021-08-25 19:21:28,
thanks bro,One-Punch Man,thumb,,2,Smart TV,2021-08-12 19:15:31,
thanks bro,How to Lose a Guy in 10 Days,thumb,,2,Smart TV,2021-07-17 21:58:18,
thanks bro,The Good Place,thumb,,2,Smart TV,2021-02-13 16:33:29,
thanks bro,Blood of Zeus,thumb,,0,HTML 5,2021-01-08 22:07:03,
thanks bro,Immortals,thumb,,0,HTML 5,2020-12-13 14:24:23,
thanks bro,Behzat Ç.,thumb,,2,HTML 5,2020-06-29 20:30:48,
thanks bro,Space Force,thumb,,2,HTML 5,2020-05-31 00:50:42,
thanks bro,V for Vendetta,thumb,,2,HTML 5,2020-05-04 03:28:46,
thanks bro,Recep İvedik 6,thumb,,1,HTML 5,2020-05-04 03:28:43,
thanks bro,BoJack Horseman,thumb,,2,HTML 5,2020-03-24 16:20:05,
thanks bro,Lost in Translation,thumb,,2,HTML 5,2019-12-29 20:09:10,
thanks bro,Birdman or (The Unexpected Virtue of Ignorance),thumb,,0,HTML 5,2019-12-29 20:09:07,
thanks bro,Rick and Morty,thumb,,2,HTML 5,2019-06-23 13:39:58,
thanks bro,Murder Mystery,thumb,,0,HTML 5,2019-06-16 22:02:22,
thanks bro,The IT Crowd,thumb,,2,HTML 5,2019-06-16 21:58:31,
thanks bro,Black Mirror: Bandersnatch,thumb,,2,HTML 5,2019-06-02 22:48:04,
thanks bro,Sherlock,thumb,,2,HTML 5,2019-05-10 01:05:15,
thanks bro,Arrival,thumb,,2,HTML 5,2019-03-18 20:02:14,
thanks bro,The Social Network,thumb,,2,HTML 5,2019-03-18 20:02:06,
thanks bro,Fifty Shades Darker,thumb,,1,HTML 5,2019-03-18 20:02:01,
thanks bro,The Hunger Games: Catching Fire,thumb,,1,HTML 5,2019-03-18 20:01:58,
thanks bro,The Shawshank Redemption,thumb,,1,HTML 5,2019-03-18 20:01:56,
thanks bro,Hayat Öpücügü,thumb,,1,HTML 5,2019-03-18 20:01:01,
thanks bro,İncir Reçeli 2,thumb,,1,HTML 5,2019-03-18 20:00:46,
thanks bro,Ekşi Elmalar,thumb,,1,HTML 5,2019-03-18 20:00:42,
thanks bro,İstanbul Kırmızısı,thumb,,2,HTML 5,2019-03-18 20:00:36,
thanks bro,Full Metal Jacket,thumb,,2,HTML 5,2019-03-18 20:00:29,
thanks bro,Scooby-Doo 2: Monsters Unleashed,thumb,,1,HTML 5,2019-03-18 19:58:42,
thanks bro,The Angry Birds Movie,thumb,,1,HTML 5,2019-03-18 19:58:37,
thanks bro,Ratatouille,thumb,,1,HTML 5,2019-03-18 19:58:30,
thanks bro,Let's Sin,thumb,,2,HTML 5,2019-03-18 19:58:20,
thanks bro,Görümce,thumb,,1,HTML 5,2019-03-18 19:58:15,
thanks bro,G.O.R.A,thumb,,2,HTML 5,2019-03-18 19:57:53,
thanks bro,Rocco,thumb,,1,HTML 5,2019-03-18 19:57:44,
thanks bro,Hot Girls Wanted,thumb,,1,HTML 5,2019-03-18 19:57:41,
thanks bro,The Fate of the Furious,thumb,,1,HTML 5,2019-03-18 19:54:19,
thanks bro,Isn't It Romantic,thumb,,1,HTML 5,2019-03-18 19:54:16,
thanks bro,"Love, Death & Robots",thumb,,0,HTML 5,2019-03-16 21:20:23,
thanks bro,The Protector,thumb,,1,HTML 5,2019-03-16 02:17:41,
thanks bro,After Life,thumb,,2,HTML 5,2019-03-16 02:14:43,
thanks bro,Prison Break,thumb,,1,HTML 5,2019-03-16 02:13:39,
thanks bro,Money Trap,thumb,,1,HTML 5,2019-03-16 02:13:34,
