Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Onur ps5,TR,iPhone,0,no hard,Hard Feelings,select,title_results,2023-11-11 14:30:52
Onur ps5,TR,iPad,0,erşa,"The Life and Movies of Erşan Kuneri: Season 1: ""Blue Box""",play,title_results,2023-11-10 21:51:02
Onur ps5,TR,iPad,0,erşa,,select,title_results,2023-11-10 21:15:14
Onur ps5,TR,iPad,0,erşa,,select,title_results,2023-11-10 20:51:44
Onur ps5,TR,iPad,0,bec,"Beckham: Limited Series: ""The Kick""",play,title_results,2023-10-15 20:38:18
Onur ps5,TR,iPad,0,bec,"Beckham: Limited Series: ""The Kick""",play,title_results,2023-10-15 18:53:32
Onur ps5,TR,iPad,0,bec,"Beckham: Limited Series: ""The Kick""",play,title_results,2023-10-15 14:15:15
Onur ps5,TR,iPad,0,bec,,select,title_results,2023-10-15 14:15:04
Onur ps5,TR,iPad,0,bec,,select,title_results,2023-10-15 14:15:04
Onur ps5,TR,PS5,0,too,,play,title_results,2023-07-07 22:01:09
Onur ps5,TR,PS5,0,too,,select,title_results,2023-07-07 22:01:08
Onur ps5,TR,PS5,0,too,,play,title_results,2023-07-07 21:59:23
Onur ps5,TR,PS5,0,too,,select,title_results,2023-07-07 21:59:21
Onur ps5,TR,PS5,0,too,,play,title_results,2023-07-07 21:58:45
Onur ps5,TR,PS5,0,too,,select,title_results,2023-07-07 21:58:44
Onur ps5,TR,PS5,0,too,,play,title_results,2023-07-07 21:58:02
Onur ps5,TR,PS5,0,too,,select,title_results,2023-07-07 21:58:01
Onur ps5,TR,PS5,0,too,,play,title_results,2023-07-07 21:26:35
Onur ps5,TR,PS5,0,too,,select,title_results,2023-07-07 21:26:34
Onur ps5,TR,iPad,0,amer,Friends with Benefits,select,title_results,2023-06-30 21:01:58
Onur ps5,TR,iPad,0,amer,The Babysitter,select,title_results,2023-06-30 21:01:40
Onur ps5,TR,PS5,0,par,,play,title_results,2023-03-26 16:34:28
Onur ps5,TR,PS5,0,par,,select,title_results,2023-03-26 16:34:26
Onur ps5,TR,PS5,0,,Who Is This Family?,play,prequery_results,2023-03-23 20:22:14
Onur ps5,TR,PS5,0,,Who Is This Family?,select,prequery_results,2023-03-23 20:22:12
Onur ps5,TR,PS5,0,lov,,play,title_results,2022-12-30 20:51:21
Onur ps5,TR,PS5,0,lov,,play,title_results,2022-12-30 20:51:21
Onur ps5,TR,PS5,0,lov,,play,title_results,2022-12-30 20:51:11
Onur ps5,TR,PS5,0,lov,,play,title_results,2022-12-30 20:51:11
Onur ps5,TR,PS5,0,lov,,select,title_results,2022-12-30 20:50:21
Onur ps5,TR,PS5,0,lov,,select,title_results,2022-12-30 20:50:21
Onur ps5,TR,PS5,0,cu,,play,title_results,2022-12-30 20:49:07
Onur ps5,TR,PS5,0,cu,,play,title_results,2022-12-30 20:49:07
Onur ps5,TR,PS5,0,cu,,select,title_results,2022-12-30 20:49:05
Onur ps5,TR,PS5,0,cu,,select,title_results,2022-12-30 20:49:05
Onur ps5,TR,PS5,0,rıc,,play,title_results,2022-12-30 19:13:32
Onur ps5,TR,PS5,0,rıc,,play,title_results,2022-12-30 19:13:32
Onur ps5,TR,PS5,0,rıc,,play,title_results,2022-12-30 19:12:23
Onur ps5,TR,PS5,0,rıc,,play,title_results,2022-12-30 19:12:23
Onur ps5,TR,PS5,0,rıc,,select,title_results,2022-12-30 19:12:21
Onur ps5,TR,PS5,0,rıc,,select,title_results,2022-12-30 19:12:21
Onur ps5,TR,PS5,0,,Glass Onion: A Knives Out Mystery,play,prequery_results,2022-12-29 20:05:30
Onur ps5,TR,PS5,0,,Glass Onion: A Knives Out Mystery,select,prequery_results,2022-12-29 20:05:22
Onur ps5,TR,iPad,0,every,Everything Everywhere All at Once,play,title_results,2022-11-12 13:24:25
Onur ps5,TR,iPad,0,every,Everything Everywhere All at Once,select,title_results,2022-11-12 13:24:22
Onur ps5,TR,iPad,0,,,select,prequery_results,2022-09-18 01:11:59
Onur ps5,TR,HTML 5,0,uncu,Uncut Gems,play,title_results,2022-03-13 02:46:26
Onur ps5,TR,HTML 5,0,adam,,select,suggestion_results,2022-03-13 02:45:59
Onur ps5,TR,iPad,0,brr,"Breaking Bad: Season 1: ""And the Bag's in the River""",play,title_results,2022-03-06 23:46:45
Onur ps5,TR,iPad,0,brr,,select,title_results,2022-03-06 23:46:43
Onur ps5,TR,iPad,0,game,,select,prequery_results,2022-01-30 22:03:17
Onur ps5,TR,iPad,0,game,Nerve,play,title_results,2022-01-30 20:25:56
Onur ps5,TR,iPad,0,game,Nerve,select,title_results,2022-01-30 20:25:52
Onur ps5,TR,iPad,0,game,Red Notice,select,title_results,2022-01-30 20:25:46
Onur ps5,TR,iPad,0,game,Nerve,select,title_results,2022-01-30 20:25:42
Onur ps5,TR,iPhone,0,step br,We're the Millers,select,title_results,2022-01-30 20:20:32
Onur ps5,TR,iPhone,0,step br,Grown Ups,select,title_results,2022-01-30 20:20:04
Onur ps5,TR,iPhone,0,step br,Murder Mystery,select,title_results,2022-01-30 20:15:56
Onur ps5,TR,iPhone,0,stepbr,Grown Ups,select,title_results,2022-01-30 20:14:17
Onur ps5,TR,iPad,0,arc,,select,title_results,2022-01-28 23:50:39
Onur ps5,TR,iPhone,0,,,select,prequery_results,2022-01-19 12:52:44
Onur ps5,TR,iPhone,0,foku,Focus,play,title_results,2022-01-19 10:53:51
Onur ps5,TR,iPhone,0,foku,Focus,select,title_results,2022-01-19 10:53:47
Onur ps5,TR,iPhone,0,big,,select,title_results,2022-01-17 06:38:14
Onur ps5,TR,iPad,0,the guil,The Guilty,play,title_results,2022-01-07 21:31:39
Onur ps5,TR,iPad,0,the guil,The Guilty,play,title_results,2022-01-07 20:34:47
Onur ps5,TR,iPad,0,the guil,The Guilty,select,title_results,2022-01-07 20:34:43
Onur ps5,TR,iPhone,0,guil,The Guilty,select,title_results,2022-01-06 21:15:50
Onur ps5,TR,iPad,0,the ga,The Game,play,title_results,2022-01-02 09:21:44
Onur ps5,TR,iPad,0,the ga,The Game,select,title_results,2022-01-02 09:21:41
Onur ps5,TR,iPhone,0,the game,The Game,select,title_results,2022-01-02 03:54:21
