Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Onur ps5,2023-11-24 20:33:54,00:00:22,Autoplayed: user action: None; ,Aile Arasında_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:23,00:00:23,TR (Turkey)
Onur ps5,2023-11-24 20:25:14,00:00:11,Autoplayed: user action: None; ,The Killer (Kısa Video): The Killer,HOOK,Chrome PC (Cadmium),00:00:11,00:00:11,TR (Turkey)
Onur ps5,2023-11-24 20:24:06,00:00:35,Autoplayed: user action: None; ,Shrek - CLM 3,HOOK,Chrome PC (Cadmium),00:00:35,00:00:35,TR (Turkey)
Onur ps5,2023-11-24 20:21:04,00:00:07,Autoplayed: user action: None; ,Triple Frontier (Fragman),TRAILER,Chrome PC (Cadmium),00:00:07,00:00:07,TR (Turkey)
Onur ps5,2023-11-24 20:20:15,00:00:29,Autoplayed: user action: None; ,Acı Reçete (Kısa Video): Acı Reçete,HOOK,Chrome PC (Cadmium),00:00:37,00:00:37,TR (Turkey)
Onur ps5,2023-11-24 20:20:06,00:00:34,Autoplayed: user action: None; ,Acı Reçete (Kısa Video): Acı Reçete,HOOK,Chrome PC (Cadmium),00:01:02,Not latest view,TR (Turkey)
Onur ps5,2023-11-24 20:19:36,00:00:11,Autoplayed: user action: None; ,İstanbul için son çağrı (Kısa Video): İstanbul için son çağrı,HOOK,Chrome PC (Cadmium),00:00:11,00:00:11,TR (Turkey)
Onur ps5,2023-11-11 21:42:16,00:00:04,Autoplayed: user action: None; ,Göremediğimiz Tüm Işıklar: Mini Dizi: 4. Bölüm (Bölüm 4),,Chrome PC (Cadmium),00:00:11,00:00:11,TR (Turkey)
Onur ps5,2023-11-11 20:44:29,00:56:35,,Göremediğimiz Tüm Işıklar: Mini Dizi: 3. Bölüm (Bölüm 3),,Chrome PC (Cadmium),00:57:54,00:57:54,TR (Turkey)
Onur ps5,2023-11-11 19:58:52,00:45:35,,Göremediğimiz Tüm Işıklar: Mini Dizi: 2. Bölüm (Bölüm 2),,Chrome PC (Cadmium),00:46:51,00:46:51,TR (Turkey)
Onur ps5,2023-11-11 19:02:32,00:26:52,,Göremediğimiz Tüm Işıklar: Mini Dizi: 1. Bölüm (Bölüm 1),,Chrome PC (Cadmium),00:58:34,00:58:34,TR (Turkey)
Onur ps5,2023-11-11 18:12:20,00:32:23,,Göremediğimiz Tüm Işıklar: Mini Dizi: 1. Bölüm (Bölüm 1),,Chrome PC (Cadmium),00:32:23,Not latest view,TR (Turkey)
Onur ps5,2023-11-11 00:30:26,00:01:32,Autoplayed: user action: None; ,3. Sezon (Fragman): Terzi,TRAILER,Apple iPad Air 5th Gen Wi-Fi iPad,00:01:32,00:01:32,TR (Turkey)
Onur ps5,2023-11-10 23:43:15,00:47:07,,Erşan Kuneri: 1. Sezon: Doyamadım (Bölüm 8),,Apple iPad Air 5th Gen Wi-Fi iPad,00:47:59,00:47:59,TR (Turkey)
Onur ps5,2023-11-10 23:01:52,00:37:55,,Erşan Kuneri: 1. Sezon: Er-Man (Bölüm 7),,Apple iPad Air 5th Gen Wi-Fi iPad,00:39:41,00:39:41,TR (Turkey)
Onur ps5,2023-11-10 22:25:58,00:00:59,,Erşan Kuneri: 1. Sezon: Er-Man (Bölüm 7),,Apple iPad Air 5th Gen Wi-Fi iPad,00:01:26,Not latest view,TR (Turkey)
Onur ps5,2023-11-10 21:51:06,00:34:48,,Erşan Kuneri: 1. Sezon: Blue Box (Bölüm 6),,Apple iPad Air 5th Gen Wi-Fi iPad,00:35:39,00:35:39,TR (Turkey)
Onur ps5,2023-10-25 20:28:39,00:12:11,,Seinfeld: 1. Sezon: Seinfeld (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:12:11,00:12:11,TR (Turkey)
Onur ps5,2023-10-25 11:53:18,00:39:31,,Sex Education: 4. Sezon: 2. Bölüm (Bölüm 2),,Apple iPad Air 5th Gen Wi-Fi iPad,00:39:31,00:39:31,TR (Turkey)
Onur ps5,2023-10-25 11:50:51,00:02:24,,Sex Education: 4. Sezon: 1. Bölüm (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:52:22,00:52:22,TR (Turkey)
Onur ps5,2023-10-25 11:36:07,00:02:08,,Big Mouth: 7. Sezon: Epididimit (Bölüm 2),,Apple iPad Air 5th Gen Wi-Fi iPad,00:02:14,00:02:14,TR (Turkey)
Onur ps5,2023-10-25 11:10:14,00:25:52,,Big Mouth: 7. Sezon: Çocuklar Liseye Geçiyor (Ama Daha Dokuz Bölüm Var) (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:25:52,00:25:52,TR (Turkey)
Onur ps5,2023-10-25 11:08:57,00:01:06,Autoplayed: user action: None; ,7. Sezon (Tanıtım Fragmanı): Big Mouth,HOOK,Apple iPad Air 5th Gen Wi-Fi iPad,00:01:06,00:01:06,TR (Turkey)
Onur ps5,2023-10-25 09:54:46,01:14:09,,David Beckham: Mini Dizi: David'in Motivasyonu (Bölüm 4),,Apple iPad Air 5th Gen Wi-Fi iPad,01:14:09,01:14:09,TR (Turkey)
Onur ps5,2023-10-21 22:12:18,00:46:55,,Sex Education: 4. Sezon: 1. Bölüm (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:50:17,Not latest view,TR (Turkey)
Onur ps5,2023-10-21 21:47:35,00:03:21,,Sex Education: 4. Sezon: 1. Bölüm (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:03:21,Not latest view,TR (Turkey)
Onur ps5,2023-10-21 21:44:54,00:02:39,,3. Sezon (Özet): Sex Education,RECAP,Apple iPad Air 5th Gen Wi-Fi iPad,00:02:40,00:02:40,TR (Turkey)
Onur ps5,2023-10-15 20:38:28,00:20:42,,David Beckham: Mini Dizi: Altın Top (Bölüm 3),,Apple iPad Air 5th Gen Wi-Fi iPad,01:07:23,01:07:23,TR (Turkey)
Onur ps5,2023-10-15 20:38:20,00:00:04,,David Beckham: Mini Dizi: Dönüm Noktaları (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:00:04,00:00:04,TR (Turkey)
Onur ps5,2023-10-15 19:39:30,00:46:39,,David Beckham: Mini Dizi: Altın Top (Bölüm 3),,Apple iPad Air 5th Gen Wi-Fi iPad,00:46:40,Not latest view,TR (Turkey)
Onur ps5,2023-10-15 18:53:48,00:38:37,,David Beckham: Mini Dizi: Öfke (Bölüm 2),,Apple iPad Air 5th Gen Wi-Fi iPad,01:03:47,01:03:47,TR (Turkey)
Onur ps5,2023-10-15 18:53:34,00:00:11,,David Beckham: Mini Dizi: Dönüm Noktaları (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:00:11,Not latest view,TR (Turkey)
Onur ps5,2023-10-15 15:37:09,00:25:10,,David Beckham: Mini Dizi: Öfke (Bölüm 2),,Apple iPad Air 5th Gen Wi-Fi iPad,00:25:10,Not latest view,TR (Turkey)
Onur ps5,2023-10-15 15:08:27,00:28:38,,David Beckham: Mini Dizi: Dönüm Noktaları (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,01:09:04,Not latest view,TR (Turkey)
Onur ps5,2023-10-15 14:15:17,00:40:24,,David Beckham: Mini Dizi: Dönüm Noktaları (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:40:25,Not latest view,TR (Turkey)
Onur ps5,2023-09-15 22:07:43,01:35:46,,Kıyamet Günü,,Apple iPad Air 5th Gen Wi-Fi iPad,01:42:52,01:42:52,TR (Turkey)
Onur ps5,2023-09-15 21:34:43,00:10:55,,Kıyamet Günü,,Apple iPad Air 5th Gen Wi-Fi iPad,00:10:55,Not latest view,TR (Turkey)
Onur ps5,2023-09-10 19:20:27,00:00:37,Autoplayed: user action: None; ,1. Sezon (2. Kısa Video): ONE PIECE,HOOK,Netflix Windows App - Cadmium Windows Mobile,00:00:37,00:00:37,TR (Turkey)
Onur ps5,2023-09-05 01:10:37,00:06:39,,Disenchantment: 5. Kısım: Vücut Bütünlüğü (Bölüm 1),,Apple iPad Air 5th Gen Wi-Fi iPad,00:07:21,00:07:21,BE (Belgium)
Onur ps5,2023-08-14 20:20:48,00:22:08,,Umut Işığım,,Apple iPad Air 5th Gen Wi-Fi iPad,01:56:11,01:56:11,TR (Turkey)
Onur ps5,2023-08-14 19:32:35,00:30:51,,Umut Işığım,,Apple iPad Air 5th Gen Wi-Fi iPad,01:32:52,Not latest view,TR (Turkey)
Onur ps5,2023-08-14 19:06:46,00:13:40,,Umut Işığım,,Apple iPad Air 5th Gen Wi-Fi iPad,01:01:51,Not latest view,TR (Turkey)
Onur ps5,2023-08-14 18:36:28,00:18:14,,Umut Işığım,,Apple iPad Air 5th Gen Wi-Fi iPad,00:48:10,Not latest view,TR (Turkey)
Onur ps5,2023-08-14 18:35:52,00:00:17,,Taksi Şöförü,,Apple iPad Air 5th Gen Wi-Fi iPad,00:01:53,00:01:53,TR (Turkey)
Onur ps5,2023-08-13 14:35:49,00:29:57,Autoplayed: user action: User_Interaction; ,Umut Işığım,,Sony PS5,00:29:56,Not latest view,TR (Turkey)
Onur ps5,2023-08-13 14:35:14,00:00:06,Autoplayed: user action: None; ,There Will Be Blood_hook_01_16x9,HOOK,Sony PS5,00:00:06,00:00:06,TR (Turkey)
Onur ps5,2023-08-12 17:23:26,00:04:43,,Uyanışlar,,Apple iPad Air 5th Gen Wi-Fi iPad,00:16:18,00:16:18,TR (Turkey)
Onur ps5,2023-08-12 16:44:17,00:11:35,,Uyanışlar,,Apple iPad Air 5th Gen Wi-Fi iPad,00:11:35,Not latest view,TR (Turkey)
