Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Onur ps5,NFCDCH-02-JRLYMCEE7NQ53M0K11KR1GV4R0W2M2,Chrome PC (Cadmium),2022-12-02T13:16:10.806,2023-12-11T13:13:12.764,2022-12-03T15:38:48.183,2023-12-11T13:13:12.764,2022-12-02T13:16:10.806,2023-12-11T13:13:12.764,2022-12-03T15:38:48.183,2023-12-11T13:13:12.764,1970-01-01T00:00:00.000
Onur ps5,NFANDROID1-PRV-P-HUAWEBLA-L09-7440-5A3EF2D1D653B0192131B75E78BC6DF0E49BFEDF79BA65E6724B54A4E289412C,DefaultWidevineAndroidPhone,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,2022-10-07T19:29:28.526,2023-12-11T00:13:27.552,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-01-IPAD5=3-0DDB908CEF28654CB6B03CCD4ADCB621CB1F8602F11A91F5302FFD8025B97A82,iPad Air 2 WiFi,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,2021-12-11T20:38:10.689,2023-12-10T20:12:11.059,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE12=1-PXA-02020SA3FI22981N63BA5H0C47HV0K927CVPDAE86S6S6SFJSP8KEE4LHRL9KH51NB2OM5U0V5QR4E1QEIQ4169GL5GRTI885OH680DC,Apple iPhone 11,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-KQCCA1MRVPJ6MWMN4T1DNPLDFLX5TN,Chrome PC (Cadmium),2023-12-10T12:50:22.348,2023-12-10T15:56:02.316,2023-12-10T15:26:05.361,2023-12-10T15:26:22.408,2023-12-10T12:50:22.348,2023-12-10T15:56:02.316,2023-12-10T15:26:05.361,2023-12-10T15:26:22.408,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-01-KQCER8TEYKH0TGEC9PMN4DLA0VHEKF,Safari MAC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-PH-KE12KL843EQY7TL9C7J8C1TF4GJ214,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFUWA-001-95E879AFAED77BCCC97C1AFAC440BAAB2FBDC60C707E951F3E728DFC47027B46,Netflix Windows App - Cadmium Windows Mobile,2021-09-23T19:43:54.755,2023-12-10T12:49:35.864,2022-08-20T10:33:13.587,2023-07-29T10:01:06.439,2021-09-23T19:43:54.755,2023-12-10T12:49:35.864,2022-08-20T10:33:13.587,2023-07-29T10:01:06.439,1970-01-01T00:00:00.000
Onur ps5,NFCDSF-PH-KQCCRGRHQ2MD23YUD3AKT8ECC0MD6F,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE12=1-1E455AF4890338FE88BC20186F2C7F315BD52CAF5E62F8919E9FE2895FFE67DD,Apple iPhone 11,2023-06-06T10:23:41.438,2023-12-06T04:04:40.340,2023-06-13T11:08:26.224,2023-12-06T04:04:40.340,2023-06-06T10:23:41.438,2023-12-06T04:04:40.340,2023-06-13T11:08:26.224,2023-12-06T04:04:40.340,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-KMZHXDPQ3NH5U3LV0M7KWAD0VQFDQC,Chrome PC (Cadmium),2023-11-11T18:12:20.004,2023-11-24T20:33:54.016,2023-11-11T18:12:20.004,2023-11-11T20:44:29.243,2023-11-11T18:12:20.004,2023-11-24T20:33:54.016,2023-11-11T18:12:20.004,2023-11-11T20:44:29.243,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-01-IPAD13=16-EAE1927974EDF83B1E5D01AC6E2B2F4CA4D24D438C956502010C771FD9840584,Apple iPad Air 5th Gen Wi-Fi iPad,2023-09-05T01:10:37.913,2023-11-11T00:30:26.515,2023-09-05T01:10:37.913,2023-11-10T23:43:15.526,2023-09-05T01:10:37.913,2023-11-11T00:30:26.515,2023-09-05T01:10:37.913,2023-11-10T23:43:15.526,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-02-IPHONE12=8-0C7A25590B76F4D5A93B61AD9C5A70F7039A5343E8B1639CCEEDFC8D2DB5C8FA,Apple iPhone SE Gen 2 iPhone,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,2023-09-11T18:14:08.591,2023-11-04T14:35:37.939,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-KL255QEJQ2649JCDRRQFME5WAQX039,Chrome PC (Cadmium),2023-10-19T11:37:37.336,2023-10-19T11:39:16.540,2023-10-19T11:38:27.244,2023-10-19T11:38:27.244,2023-10-19T11:37:37.336,2023-10-19T11:39:16.540,2023-10-19T11:38:27.244,2023-10-19T11:38:27.244,1970-01-01T00:00:00.000
Onur ps5,NFCDCH-02-KKU1CRFKE8D735WVRRVKWC5H6WPGE8,Chrome PC (Cadmium),2023-10-16T09:43:19.217,2023-10-16T11:43:52.796,2023-10-16T09:45:06.696,2023-10-16T11:43:52.796,2023-10-16T09:43:19.217,2023-10-16T11:43:52.796,2023-10-16T09:45:06.696,2023-10-16T11:43:52.796,1970-01-01T00:00:00.000
Onur ps5,NFUWA-001-3B354A89C7FE6AA8DAD9C66A807007C75D8DE777E36A2B4642EFB909696EF068,Netflix Windows App - Cadmium Windows Mobile,2021-09-15T22:36:11.912,2023-10-08T13:32:16.383,2021-12-11T18:26:50.896,2023-10-08T13:32:16.383,2021-09-15T22:36:11.912,2023-10-08T13:32:16.383,2021-12-11T18:26:50.896,2023-10-08T13:32:16.383,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-01-IPAD12=1-4019A454BF0E931BEEB268A33790645955FC7A6A9DFA55085FE948334333D141,Apple iPad 10.2 inch 9th Gen Wi-Fi,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,2023-09-21T19:14:55.636,2023-10-03T18:18:48.784,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-01-IPAD12=1-28A576F492E06E8D0B24ABE5A704EAA2E987481C4AF2DD0E809FE30583876222,Apple iPad 10.2 inch 9th Gen Wi-Fi,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,2021-12-22T14:57:35.415,2023-09-20T19:46:12.712,1970-01-01T00:00:00.000
Onur ps5,NFAPPL-01-IPAD13=16-26D9A230F744819A88C005D8F68C4AD4C4F95F19C6FB09F94CAC888CFB49B2CB,Apple iPad Air 5th Gen Wi-Fi iPad,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,2023-03-04T18:14:53.055,2023-08-14T20:20:48.124,1970-01-01T00:00:00.000
Onur ps5,NFPS5-001-3ZHM8FLAJGNW2L6URLMFT6LQPD,Sony PS5,2022-12-15T17:18:14.732,2023-08-13T14:35:49.758,2022-12-15T17:18:32.783,2023-08-13T14:35:49.758,2022-12-15T17:18:14.732,2023-08-13T14:35:49.758,2022-12-15T17:18:32.783,2023-08-13T14:35:49.758,1970-01-01T00:00:00.000
