Esn,Country,Region Code,Device Description,Ip,Ts
NFCDCH-02-KE11T5M6C18C6F0N0E0KUQV0NM9LW3,TR,34,Chrome - Windows,95.0.206.241,2023-08-07 05:55:09
NFCDCH-02-KDQ3A7CKPL2LEFN5T8W9VRF052U31J,TR,34,Chrome - Windows,95.0.206.241,2023-08-03 11:20:22
NFCDCH-02-KL255QEJQ2649JCDRRQFME5WAQX039,TR,34,Chrome - Windows,95.0.206.241,2023-10-19 11:36:46
NFCDCH-02-KE9CUUYCX2M9FL8YGA4GTNQMRP64VU,TR,34,Chrome - Windows,95.0.206.241,2023-08-10 09:35:41
NFCDCH-02-KKWWJRAD7Y8J5AQW85YX3R2G00MW3D,TR,34,Chrome - Windows,95.0.206.241,2023-10-17 11:38:50
NFCDCH-02-KMZHXDPQ3NH5U3LV0M7KWAD0VQFDQC,TR,34,Chrome - Windows,149.140.90.183,2023-11-11 18:11:57
NFCDCH-02-KHNGWN3NFA5QFHR20XHY93DGKKGG1D,TR,34,Chrome - Windows,95.0.206.241,2023-09-20 09:47:17
NFAPPL-02-IPHONE15=3-10B3F45254A9E99502239F1715974CF2E26B6D91BED1771FC54D40810D6B4F2E,TR,34,Apple iPhone 14 Pro Max iPhone,188.119.39.66,2023-03-17 23:49:48
NFCDCH-02-K5A7E2KULWNCNALG06MHC22DR2WRVF,TR,34,Chrome - Windows,95.0.206.241,2023-05-22 11:17:00
NFCDCH-02-JYZMP7NVMD0CTJ22AP7N1ATA67QD5C,TR,34,Chrome - Windows,95.0.206.241,2023-02-17 19:19:55
NFCDCH-02-K1EDVY9R5LVV7E1HVDD139LCH7JU7J,TR,34,Chrome - Windows,95.0.206.241,2023-03-19 07:32:51
NFCDCH-02-K5A7E2KULWNCNALG06MHC22DR2WRVF,TR,34,Chrome - Windows,95.0.206.241,2023-05-05 15:16:21
NFCDCH-02-KKU1CRFKE8D735WVRRVKWC5H6WPGE8,TR,34,Chrome - Windows,95.0.206.241,2023-10-16 09:42:40
NFCDCH-02-KEYQM6TWUA1V3FC75FEAPGE69FG87A,TR,34,Chrome - Windows,95.0.206.241,2023-08-18 12:06:43
NFCDCH-02-KFJEL7PDT29JP9LAP89CLJV81NF98U,TR,34,Chrome - Windows,95.0.206.241,2023-10-27 14:08:09
NFAPPL-02-IPHONE15=3-10B3F45254A9E99502239F1715974CF2E26B6D91BED1771FC54D40810D6B4F2E,TR,34,Apple iPhone 14 Pro Max iPhone,188.119.39.66,2023-03-17 23:49:51
NFCDCH-02-KCTFE0DF3XMUT63CRUDKFE0VH6RLT3,TR,34,Chrome - Windows,95.0.206.241,2023-07-23 05:25:22
NFCDCH-02-KH8LY0J65FP1T4CVNWWAC2923EJKAX,TR,34,Chrome - Windows,95.0.206.241,2023-09-15 12:36:41
NFCDCH-02-KHKQ8A2Y0J3VKTKM7TLL5UTETNMM4U,TR,34,Chrome - Windows,95.0.206.241,2023-09-19 08:35:07
NFCDCH-02-KKDV1YD1E2861YVAGVTHGF3V74Y49C,TR,34,Chrome - Windows,95.0.206.241,2023-10-11 09:35:22
NFCDCH-02-KAUDY94NXF6YGU0YU6143RCALFLX5H,TR,34,Chrome - Windows,95.0.206.241,2023-07-11 10:50:04
NFAPPL-01-IPAD13=16-26D9A230F744819A88C005D8F68C4AD4C4F95F19C6FB09F94CAC888CFB49B2CB,TR,34,Apple iPad Air 5th Gen Wi-Fi iPad,78.186.50.73,2023-03-04 18:14:08
NFCDCH-02-KE6YNGC7P4QVK0YTVWGYKX673R1RYC,TR,34,Chrome - Windows,95.0.206.241,2023-08-09 11:48:20
NFCDCH-02-K5A7E2KULWNCNALG06MHC22DR2WRVF,TR,34,Chrome - Windows,95.0.206.241,2023-06-29 05:00:42
NFCDCH-02-KHULUK1MKNEFQKTGEA07K0Q8219D5L,TR,34,Chrome - Windows,95.0.206.241,2023-09-22 08:25:40
NFCDCH-02-KAZQKX62YP385D6566RPRWGJQHM8WD,TR,34,Chrome - Windows,95.0.206.241,2023-07-13 11:22:19
NFCDCH-02-KP34YGWP2C1H201RKHPCU8D1L7916G,TR,34,Chrome - Windows,95.0.206.241,2023-11-25 06:28:42
NFCDCH-02-KGXT7ZKEL30Q42U4TU1XE0L76XPL39,TR,34,Chrome - Windows,95.0.206.241,2023-09-11 10:02:31
NFCDCH-02-KH0CN46Q8AP16M5TUPA23Y3XPM20N9,TR,34,Chrome - Windows,95.0.206.241,2023-09-12 09:26:23
NFCDCH-02-KHQYC1Q30RMJY77L78D9ULND9FE0EP,TR,34,Chrome - Windows,95.0.206.241,2023-09-21 08:06:26
