Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,82.222.97.8,TR,Istanbul,GUVERCINTEPE MAH.,2023-02-22 16:01:40
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,85.153.206.207,TR,Tekirdag,CORLU,2023-05-12 15:30:01
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,85.153.202.23,TR,Istanbul,ZUHURATBABA,2023-02-25 18:30:33
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,85.153.203.59,TR,Istanbul,HALKALI,2023-03-11 22:01:34
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,94.235.164.92,TR,Istanbul,AKSARAY MAH.,2023-03-08 22:28:45
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,85.153.205.220,TR,Istanbul,KONAKLAR MAH.,2023-02-12 22:45:49
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,85.153.205.220,TR,Tekirdag,DEGIRMENALTI MAH.,2023-02-15 16:56:11
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,212.253.112.77,TR,Istanbul,MERKEZ MAH.,2023-03-04 01:35:57
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,159.20.68.5,TR,Istanbul,ORHANLI,2023-03-08 22:29:07
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,5.176.143.160,TR,Kirikkale,AKSEMSETTIN MAH.,2023-05-13 04:00:05
NFAPPL-02-IPHONE12=1-99D91FC439DFE9C725128390466C03F45BA6AD65A14AF2405A7D532BEE6755F8,APPLE_iPhone12-1,APPLE_iPhone12-1,151.135.10.224,TR,Istanbul,YAKACIK,2023-04-19 15:50:53
NFAPPL-02-IPHONE15=3-10B3F45254A9E99502239F1715974CF2E26B6D91BED1771FC54D40810D6B4F2E,APPLE_iPhone15-3,APPLE_iPhone15-3,178.246.161.102,TR,Tekirdag,CUMHURIYET MAH.,2023-11-11 14:30:53
