Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-12-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,NEW,,TR,
2023-12-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,APPROVED,,TR,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,199.99,TRY,33.33,199.99,SALE,PENDING,SETTLED,TR,2023-12-10
2023-11-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,PENDING,,TR,
2023-11-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,NEW,,TR,
2023-11-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,APPROVED,,TR,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,199.99,TRY,33.33,199.99,SALE,APPROVED,SETTLED,TR,2023-12-10
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,199.99,TRY,33.33,199.99,SALE,NEW,SETTLED,TR,2023-12-10
2023-10-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,PENDING,,TR,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,130.99,TRY,21.83,130.99,SALE,NEW,SETTLED,TR,2023-11-10
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,130.99,TRY,21.83,130.99,SALE,PENDING,SETTLED,TR,2023-11-10
2023-10-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,NEW,,TR,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,130.99,TRY,21.83,130.99,SALE,APPROVED,SETTLED,TR,2023-11-10
2023-10-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,APPROVED,,TR,
2023-09-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,APPROVED,,TR,
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,MASTERCARD,0170,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,SALE,APPROVED,SETTLED,TR,2023-10-10
2023-09-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,NEW,,TR,
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,MASTERCARD,0170,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,SALE,NEW,SETTLED,TR,2023-10-10
